Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 348 - Museus - localização e tipo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,,,,,
Administrativas,Bairros,Número de museus/ Identificação,Endereço,Tipo,,,
,Glória,Da II Guerra Mundial,Pça. Brigadeiro Eduardo Gomes,Histórico,,,
,,Fundação Oscar Niemeyer,"R. Conde Lages, 25",De Artes,,,
,,Imperial Irm. N.S. Glória do Outeiro,"Pça. N.S. da Glória, 135",Histórico,,,
,Catete,Da República,"R. do Catete, 153",Histórico,,,
,,De Folclore Edison Carneiro,"R. do Catete, 181",De Etnologia,,,
,Botafogo,Casa de Rui Barbosa,"R. São Clemente, 134",Histórico,,,
,,Do Gás,"R. Jornalista Orlando Dantas, 44",De Técnica,,,
,,Do Índio,"R. das Palmeiras, 55",De Etnologia,,,
,,Dos Teatros do Rio de Janeiro,"R. São João Batista, 105",De Artes,,,
,,Glauber Rocha,"R. Sorocaba, 190",De Artes,,,
,,Villa-Lobos,"R. Sorocaba, 200",De Artes,,,
,Urca,Antônio de Oliveira,"Av. Pasteur, 520",Histórico,,,
,,De Minerais e Rochas do DNPM,"Av. Pasteur, 404/2º and.",De Ciências,,,
,Cosme Velho,Internacional de Arte Naïf  ,,De Artes,,,
,,do Brasil (MIAN),"R. Cosme Velho, 561",De Artes,,,
V  Copacabana,,1,,,,,
,Copacabana,Histórico do Exército e Forte de Copacabana,Av. Atlântica - Posto Seis,Militar,,,
VI  Lagoa,,8,,,,,
,Ipanema,Amsterdam Sauer de Pedras Preciosas,"R. Garcia D'Ávila, 105",De Técnica,,,
,,H. Stern,"R. Garcia D'Ávila, 113",De Técnica,,,
,Jardim Botânico,Botânico,"R. Jardim Botânico, 1.008",De Ciências,,,
,,Carpológico do Rio de Janeiro,"R. Pacheco Leão, 915",De Ciências,,,
,,Casa dos Pilões,"R. Jardim Botânico, 1.008",De Ciências,,,
,Gávea,Histórico da Cidade do Rio de Janeiro,"Estrada de Santa Marina, s/nº-Parque da Cidade ",Histórico,,,
,,Solar Grandjean de Montigny,"R. Marquês de São Vicente, 225",Histórico,,,
,Lagoa,Fundação Eva Klabin Rapaport,"Av. Epitácio Pessoa, 2.480",De Artes,,,
VII  São Cristóvão,,6,,,,,
,São Cristóvão,Da Fauna,Quinta da Boa Vista,De Ciências,,,
,,De Astronomia e Ciências Afins (MCP),"R. General Bruce, 586",De Ciências,,,
,,De História em Quadrinhos,"R. General Almério de Moura, 302",De Artes ,,,
,,Do Primeiro Reinado (Antigo Solar da Marquesa de Santos),"Av. Dom Pedro II, 293",Histórico,,,
,,Militar Conde de Linhares,"Av. Pedro II, 383",Militare,,,
,,Nacional,"Quinta da Boa Vista, s/nº",De Ciências,,,
VIII  Tijuca,,1,,,,,
,Alto da Boa Vista,Do Açude,"Estrada do Açude, 764",De Artes Plásticas,,,
IX  Vila Isabel,,2,,,,,
,Maracanã,Dos Esportes Mané Garrincha,"R. Prof. Eurico Rabelo, portão 18",De Esportes,,,
,,Emílio Garrastazu Médici,"Estádio do Maracanã, portão 18",De Esportes,,,
X  Ramos,,2,,,,,
,Manguinhos,Do Instituto Oswaldo Cruz (Museu da Vida),"Av. Brasil, 4.365",De Ciências,,,
,,De Patologia,"Av. Brasil, 4.365",De Ciências,,,
XIII  Méier,,4,,,,,
,Piedade,Universitário Gama Filho,"R. Manoel Vitorino, 625",Histórico,,,
,Méier,Histórico do Corpo de Bombeiros,"R. Aristides Caire, 56",Militare,,,
,Engenho de Dentro,De Imagens do Inconsciente,"R. Ramiro Magalhães, 521",De Artes Plásticas,,,
,,Do Trem,"R. Arquias Cordeiro, 1.046",De Técnica,,,
XV  Madureira,,2,,,,,
,Madureira,Do Clube dos Caçadores,"R. São Geraldo, 38",De Esportes,,,
,Marechal Hermes,Aeroespacial,"Av. Marechal Fontenelle, 2.000",De Técnica,,,
XXIII Santa Teresa,,4,,,,,
,Santa Teresa,Casa de Benjamin Constant,"R. Monte Alegre, 255",Histórico,,,
,,Chácara do Céu (Parque das Ruínas),"R. Murtinho Nobre, 93",De Artes Plásticas,,,
,,Do Bonde,"R. Carlos Brant, 14",,,,
,,Espaço Museu do Universo,"R. Vice-Governador Rubens Berardo, 100",,,,
XXIV  Barra da Tijuca,,1,,,,,
,Recreio dos Bandeirantes,Casa do Pontal - Arte Popular Brasileira,"Estrada do Pontal, 3.295",De Artes,,,
,,,,,,,
,,,,,,,
Fonte:  Empresa de Turismo do Município do Rio de Janeiro - Riotur.,,,,,,,
