Armazém de Dados,,,,,,,
,,,,,,,
"Quadro 351 - Patrimônio histórico, artístico e cultural - bens tombados, por localização e esferas de governo, segundo as Regiões Administrativas e Bairros - 2004",,,,,,,
,,,,,,,
Regiões,,,, Esfera de Governo,,,
Administrativas,Bairros,Identificação,Localização,Nac.,Est.,Mun.,
,,Casas da Vila S. Lázaro,"R. da Indústria, 18/R. M. Camargo, 3",*,,*,
,,,,,,,
II  Centro,,198,,57,57,84,
,Centro,Prédio da Embrafilme,"R. Mayrink Veiga, 28",,,*,
,,Ilha Fiscal,Ilha Fiscal,,*,,
,,Duas pinturas a óleo,"R. Camerino, 164",,,*,
,,Banco Boavista (prédio e painel de Portinari),"Pça. Pio X, 118",,*,*,
,,E.M. Celestino da Silva,"R. do Lavradio, 56",,,*,
,,E.M. Campos Sales,"Pça. da República, s/nº (no Campo de Santana)",,,*,
,,E.M. República da Colômbia (antiga),"R. Camerino, 51",,,*,
,,E.M. Rivadávia Corrêa,"Av. Pres. Vargas, 1.314",,,*,
,,E.M. Tiradentes,"R. Visc. do Rio Branco, 48",,,*,
,,Pça. Sen. Clóvis Salgado Filho (Jardins),Praça Senador Clóvis Salgado Filho,,*,,
,,Igreja de Nossa Senhora Mãe dos Homens,"R. da Alfândega, 54",*,,,
,,ABI - Assoc. Bras. de Imprensa (sede),"R. Araújo Porto Alegre, 71",*,,,
,,Fundição Progresso (prédio),"R. dos Arcos, 28 a 42",,*,,
,,Solar,"R. Barão de São Félix, 94",,,*,
,,Vila,"R. Barão de São Félix, 97",,,*,
,,Faculdade de Direito da UFRJ (sede),"R. Moncorvo Filho, 2 a 8",,*,,
,,Sind. dos Condutores de Veículos ,,,,,
,,Rodov. em Transp. Urb.de,,,,,
,, Passag.do Mun.do RJ (prédio),"R. Camerino, 66",,,*,
,,Sobrado,"R. da Candelária, 2",,,*,
,,Aqueduto,Aqueduto da Carioca,*,,,
,,Igreja S. Francisco da Penit. e cemitério anexo,"Largo da Carioca, s/nº",*,,,
,,Relógio da Carioca,Largo da Carioca,,*,,
,,Igreja e Convento de Santo Antônio,Largo da Carioca,*,,,
,,Conjunto Urbano da Rua da Carioca ,"R. da Carioca, 2 a 87",,*,,
,,Edifício do Cinema Iris,"R. da Carioca, 49 a 51",,*,,
,,Teatro Glauce Rocha,"Av.Rio Branco, 179",,*,,
,,Fortaleza de São José (frontispício da ,,,,,
,,capela e antigo portão),Ilha das Cobras,*,,,
,,Pharmácia Cordeiro,"R. da Constituição, 45",,,*,
,,Cortiço,"R. Costa Ferreira, 70",,,*,
,,Hospital da Cruz Vermelha,"Praça Cruz Vermelha, 12",,,*,
,,Chafariz de Paulo Fernandes,"R. Frei Caneca, s/nº",*,,,
,,Chafariz do Lagarto,R. Frei Caneca s/nº,*,,,
,,Monumento ao Marechal Floriano Peixoto,"Praça Floriano, s/nº",,*,,
,,Vila,"R. General Caldwell, 206",,,*,
,,Garagem Poula,"R. Gomes Freire, 306 e 306-A",,,*,
,,Sobrado,"R. Gomes Freire, 773",,,*,
,,Casa Daniel,"R. Gonçalves Dias, 13",,,*,
,,Confeitaria Colombo (edifício),"R. Gonçalves Dias, 32 a 36",,*,,
,,Conjunto Arquitetônico,"R. Gonçalves Ledo, 5/5a/5b/7/11",*, ,,
,,Palácio Gustavo Capanema,"R. da Imprensa, 16",*,,,
,,Igreja de Santo Antônio dos Pobres,"R. dos Inválidos, 40",,,*,
,,Cortiço Chora Vinagre,"R. dos Inválidos, 124",,,*,
,,Residência Nobre,"R. dos Inválidos, 193 e 203",*,,,
,,Igreja N.S. Carmo da Lapa do Desterro,"Largo da Lapa, s/nº",*,,,
,,Lampadário Monumental do Largo da Lapa,Largo da Lapa,,*,,
,,Soc. Bras. de Belas Artes (prédio e ,,,,,
,,32 obras do acervo),"R. do Lavradio, 84",,*,,
,,Edifício Grande Oriente do Brasil,"R. do Lavradio, 97",,*,,
,,Conjunto Arquitetônico,"R. do Lavradio, 122",,,*,
,,Real Gabinete Português de Leitura,"R. Luís de Camões, 30",,*,,
,,Casa,"R. Mayrink Veiga, 9",*,,,
,,Serviço Doc. Geral da Marinha (prédio),"R. Dom Manuel, 15",,*,,
,,Instituto Histórico e Cultural da Aeronáutica,,,,,
,,(Antiga estação de hidroaviões),"Pça. Mar. Âncora, s/nº",*,,,
,,Restaurante Albamar,"Pça. Mar. Âncora, 184",,*,,
,,Palácio Pedro Ernesto,"Pça. Mar. Floriano, s/nº",,*,,
,,Teatro Municipal (edifício),"Pça. Mar. Floriano, s/nº",*,*,,
,,Colégio Pedro II (prédio),"Av. Mar. Floriano, 68 a 80",*,,,
,,Centro Cultural da Light (antiga sede da Light),"Av. Mar. Floriano, 168",*,,,
,,Real Ben. Soc. Port. -  Caixa Socorro Pedro V,"Av. Mar. Floriano, 185",,,*,
,,Palácio Itamaraty,"Av. Mar. Floriano, 196",*,,,
,,Externato Irmã Paula (conj. arquit.),"Av. Mem de Sá, 271",,,*,
,,Buraco do Lume,Pça. Melvim Jones ,,,*,
,,Ladeira da Misericórdia,Lad. da Misericórdia,,*,,
,,Ministério da Fazenda,"Av. Pres. Antônio Carlos, 375",,,*,
,,Igreja do Glorioso Patriarca São José,"Av. Pres. Antônio Carlos, esq. R. São José",*,,,
,,Palácio Tiradentes  (Assembléia Legislativa),"R. D. Manuel, s/nº (Av. Pres. Ant. Carlos, 641)",*,,*,
,,Igreja de São José ,"R. da Misericórdia, s/nº",*,,,
,,Igreja de Nossa Senhora do Bonsucesso,"Largo da Misericórdia, s/nº",*,,,
,,Hospital Moncorvo Filho,"R. Moncorvo Filho, 90",,*,,
,,Chafariz do Monroe,Praça do Monroe,*,,*,
,,Igreja de N.S. da Lapa dos Mercadores,,,,,
,,(inclusive todo o seu acervo),"R. do Ouvidor, 35",*,,,
,,Confeitaria Manon,"R. do Ouvidor, 187/189",,,*,
,,Automóvel Clube do Brasil (sede),"R. do Passeio, 90",,*,,
,,Escola Municipal de Música da UFRJ,"R. do Passeio, 98",,,*,
,,Passeio Público (inclusive o Chafariz dos ,,,,,
,,"Jacarés, os obeliscos e o portão do",,,,,
,, Mestre Valentim),R. do Passeio s/nº,*,,,
,,Igreja do Ss. Sacramento da Antiga Sé,"Av. Passos, 50",*,,,
,,Igreja de Nossa Senhora da Candelária,Praça Pio X,*,,,
,,Academia Brasileira de Letras (prédio),"Av. Pres. Wilson, 203",,*,,
,,Igreja da Santa Cruz dos Militares,"R. 1º de Março, 36",*,,,
,,Tribunal Regional Eleitoral,"R. 1º de Março, 42",,,*,
,,Igreja de N.S. do Carmo da Antiga Sé,"R. 1º de Março, s/n e R. do Carmo, 46 a  54",*,,,
,,Igreja Ord. 3ª N.S. do Monte do Carmo /,,,,,
,,arco e oratório de N.S. Boa Esperança,"R. 1º de Março, s/nº",*,,,
,,Chafariz do Mestre Valentim,Praça XV de Novembro,*,,,
,,Arco do Teles e casas nos 32 e 34,Praça XV de Novembro,*,,,
,,Casa do Antigo Convento do Carmo,,,,,
,,(Conjunto Universitário Cândido Mendes),"Praça XV de Novembro, 101",*,,,
,,Paço Imperial,"Praça XV de Novembro, 48",*,,,
,,Imóvel,"R. da Quitanda, 21",,,*,
,,Casa,"R. da Quitanda, 61",*,,,
,,Vila Avenida Modelo,"R. Regente Feijó, 55",*,,,
,,Prédio da Antiga Polícia Central,"R. da Relação, 40",,*,,
,,Campo de Santana,Praça da República,,*,,
,,Arquivo Nacional ,,,,,
,,(antiga sede da Casa da Moeda),"Praça da República, 173",*,,,
,,Quartel Central do Corpo de Bombeiros,"Praça da República, 45",,*,,
,,Prédio da 1ª Circ. do Serviço Militar ,"Praça da República, 123",,,*,
,,Museu Casa,"Praça da República, 197",*,,,
,,Imóvel - Arquivo e Documentação Histórica ,,,,,
,,do Tribunal de Justiça do Estado do RJ,"Praça da República, 26",,,*,
,,CMS Oswaldo Cruz (prédio),"R. do Resende, 128 e",,*,,
,, ,"R. do Riachuelo, 43",,,*,
,,Clube dos Democráticos,"R. do Riachuelo, 91/93",,,*,
,,Chafariz,"R. do Riachuelo, 173",*,,,
,,"Museu do Exército, Museu Casa de Osório","R. do Riachuelo, 303",*,,,
,,Casas Térreas Geminadas ,"R. do Riachuelo, 354/356",,,*,
,,Inst.do Patrimônio Hist. e Artístico Nac. - IPHAN,,,,,
,,(antiga Companhia Docas de Santos),"Av. Rio Branco, 44/46",*,,,
,,Clube Naval (sede social),"Av. Rio Branco, 180",,*,,
,,Museu Nacional de Belas Artes (prédio),"Av. Rio Branco, 199",*,,,
,,Biblioteca Nacional (prédio),"Av. Rio Branco, 219 a 239",*,,,
,,Supremo Tribunal Federal (edifício),"Av. Rio Branco, 241",,,*,
,,Igreja N.S. da Conceição e Boa Morte,,,,,
,,(inclusive todo o seu acervo),"R. do Rosário, s/nº",*,,,
,,Museu da Imagem e do Som - MIS,"Praça Rui Barbosa, 1",,*,,
,,Igreja de Santa Luzia,,,,,
,,(inclusive todo o seu acervo),"Rua Santa Luzia, 490",*,,,
,,Santa Casa da Misericórdia e Igreja de N.S.,"Rua Santa Luzia, 206 e",,,,
,,do Bonsucesso   ,"Largo da Misericórdia, s/nº",*,,,
,,Igreja de Santa Rita,,,,,
,,(inclusive todo o seu acervo),"Largo de Santa Rita, s/nº",*,,,
,,Igreja e Mosteiro de São Bento,"Morro de São Bento (ent. R. D. Gerardo, 68)",*,,,
,,Igreja de São Francisco de Paula,,,,,
,,(inclusive todo o seu acervo),"Largo de São Francisco, s/nº",*,,,
,,Inst. de Filos. e Ciências Sociais da UFRJ,,,,,
,,(Antiga Escola Politécnica do RJ),"Largo de São Francisco, s/nº",*,*,,
,,Sobrado,"R. Senador Pompeu, 32",,,*,
,,Cortiço,"R. Senador Pompeu, 34",,,*,
,,Pintura a óleo sobre alvenaria,"R. Senador Pompeu, 34",,,*,
,,Cortiço,"R. Senador Pompeu, 43",,,*,
,,Cortiço,"R. Senador Pompeu, 51",,,*,
,,Portaria,"R. Senador Dantas, 74",,,*,
,,Casa Cavé,"R. 7 de Setembro, 133",,*,,
,,Conjunto de Sobrados,"R. 7 de Setembro, 182/184/186",,,*,
,,Grande Templo Israelita do RJ,"R. Tenente Possolo, 8",,,*,
,,Teatro Carlos Gomes,"Praça Tiradentes, 19",,,*,
,,Estátua Eqüestre de D. Pedro I,Praça Tiradentes,,*,,
,,Dois painéis de Di Cavalcanti,"Praça Tiradentes, s/nº",,*,,
,,Solar do Visconde do Rio Seco,"Praça Tiradentes, 67",,*,,
,,Igreja de N.S. do Rosário e S. Benedito,"R. Uruguaiana, s/nº",*,,,
,,Escola de Teatro Martins Pena,"R. 20 de Abril, 14",*,,,
,,Sobrado,"R. Visconde de Itaboraí, 8",,,*,
,,Casa França-Brasil,"R. Visconde de Itaboraí, 78",*,,,
,,Imóvel,"R. Washington Luís, 10/10-a",,,*,
,,Perfumaria Kanitz,"R. Washington Luís, 117",,,*,
,,Galeota de D. João VI,Ilha das Cobras (acesso Pça. B. do Ladário),,*,,
,,Conjunto Arquitetônico da Cinelândia,"Pça. Mal. Floriano, 55 - R. Francisco Serrador, 2 ",,,,
,,,"R. Álvaro Alvim, 24 e 48 - Pça. M. Gandhi, 2",,,*,
,,Banco Central,"Av. Rio Branco, 30",*,,,
,,Estação Ferroviária D. Pedro II,Pça. Cristiano Otoni,,,*,
,,Conjunto de Prédios,"R. São José, 8, 16, 54, 56, 76, 78, e 80",,,*,
,,Painéis de Leandro Joaquim ,R. Rodrigo Silva (Igreja N. S. do Parto ),,*,,
,,Painéis de Leandro Joaquim ,"Av. Rep. Chile, 245 (Cat. Met.  Rio de Janeiro)",,*,,
,,Busto: Europa e chafariz ,Pça. da República (Depósito da Fund. Parques e Jardins),,,*,
,,Estátua: A Ciência,"Av. Presidente Vargas, 1314 (E. M. Rivadavia Correa)",,,*,
,,Estátua: A Justiça ,"Avenida Rio Branco, 241 (Supremo Tribunal Federal)",,,*,
,,Ponte de ferro imitando galhos de árvore e ,,,,,
,,"estátuas (4): A Primavera, O Verão, ",,,,,
,,"O Outono, O Inverno","R. do Passeio, s/nº ",,,*,
,,Estátuas (2): A Ciência e A Indústria,"R. Dom Manoel, 25 ",,,*,
,,Estátuas (2): Esculápio e Hígia ,"Pça. da República, 11",,,*,
,,Estátuas (2): São Vicente de Paulo e São José,"Av. Mem de Sá, 271 ",,,*,
,,Estátuas (2): Hipônemes e Atlanta,"Av. Mal. Floriano, 196 ",,,*,
,,Portas em bronze fundidas na França (3),Pça. Pio X  (Igreja de Nossa Senhora da Candelária),,,*,
,,"Estátuas (4): A Agricultura, A Marinha, ",,,,,
,,A Indústria e O Comércio,"R. 1º de Março, 42 ",,,*,
,,"Estátuas (4): A União, A Justiça, A Liberade e ",,,,*,
,,A Fidelidade,Parque Noronha Santos  ,,,*,
,,"Fontes tipo stella com o busto Europa (4), ",,,,,
,,"chafariz: A Sereia, portões (4) e",,,,,
,,vasos ornamentais (8),Pça. da República - Campo de Santana,,,*,
,,Companhia Nacional de Abastecimento CONAB,,,,,
,,(antigo Entreposto de Pesca) (fachada),"Pça. XV de Novembro, s/nº ",,*,,
,,Cordão do Bola Preta,"Av. Treze de Maio, 13 ",,,*,
,,Edifício A Noite,"Pça. Mauá, 7 ",,,*,
,,Edifício Almirante Tamandaré ,,,,,
,,(antigo Ministério da Marinha),"Pça. Barão de Ladário, s/nº",,*,,
,,Edifício Mesbla,"R. do Passeio, 48 a 56",,,*,
,,Edifício Standard ,,,,,
,,(conhecido como Prédio da Esso),"Av. Pres. Wilson, 118 ",,*,,
,,Edifício,"R. Graça Aranha, 145 ",,*,,
,,Edifício (antiga sede da Secret. Est. de Fazenda),R. da Alfândega 42 e 44 ,,*,,
,,E. M. Guatemala,"Pça. Pres. Aguirre Cerda, 55 ",,,*,
,,Hangar e estação de passageiros do ,,,,,
,,Aeroporto Santos Dumont,"Pça. Senador Salgado Filho, s/nº ",,*,,
,,Hosp. da Ord.3ª de N.S. do Monte Carmo,"R. do Riachuelo, 43 ",,,*,
,,Igreja de Nossa Senhora do Terço,"R. Senhor dos Passos, 140 ",,*,,
,,Igreja de Santo Elesbão e Santa Efigênia,"R. da Alfândega, 219",,*,,
,,Imóveis,"R. Regente Feijó, 72, 74 e 76",,*,,
,,Imóvel,"R. da Alfândega, 41 ",,,*,
,,Imóvel,"R. da Quitanda, 71 a 75 ",,,*,
,,Imóvel,"R. Leandro Martins, 38 ",,*,,
,,Imóvel,"R. Buenos Aires, 312 e 314",,,*,
,,Imóvel,"Pça. da República, 17 ",,,*,
,,Imóvel,"R. Visconde de Inhaúma, 64 ",,,*,
,,Imóvel,"Pça. Mauá, 2",,,*,
,,Imóvel,"Pça. Mauá, 10 ",,,*,
,,Monumento a Dom Pedro I,"Pça. Tiradentes, 5",*,,,
,,Mural,R. Senador Dantas,,,*,
,,Museu da Magia Negra,"R. Frei Caneca, 162",*,,,
,,Nicho paroquial de N.S. de Fátima ,,,,,
,,(conhecido como Santinha),Pça. Aguirre Cerda,,,*,
,,Palácio do Comércio ,,,,,
,,(Associação Comercial do Rio de Janeiro),"R. da Candelária, 9 ",,,*,
,,Palácio Duque de Caxias ,,,,,
,,(antigo Ministério da Guerra),Pça. Duque de Caxias ,,*,,
,,"Prédio onde funcionou a chapelaria ""A Radiante""","R. Sete de Setembro, 137",,,*,
,,Prédio ,"Av. Rio Branco, 185",,,*,
,,Real e Benemérita Sociedade Portuguesa ,,,,,
,,Caixa de Socorros D. Pedro V,"Av. Marechal Floriano, 158 a 189",,,*,
,,Reservatório do Morro de São Bento (1877) ,R. Dom Gerardo,,*,,
,,Sabre de honra do General Osório,"R. do Riachuelo, 303 ",*,,,
,,Sala Cecília Meireles,"Largo da Lapa, 47",,*,,
,,Tribunal Regional do Trabalho ,,,,,
,,(antigo Ministério do Trabalho),"Av. Presidente Antonio Carlos, 251",,*,,
III  Rio Comprido,,14,,3,4,7,
,Catumbi,E.M Estados Unidos,"R. Itapiru, 453",,,*,
,,Imóvel,"Rua Frei Caneca, 363",,,*,
,,,,,,,
,Rio Comprido,Casa do Bispo,"Av. Paulo de Frontin, 568",*,,,
,,E.M. Pereira Passos,"Pça. Condessa Paulo de Frontin, 45",,,*,
,,,,,,,
,Estácio,TV Record,"R. Miguel de Frias, 57",,,*,
,,,,,,,
,Cidade Nova,Passarela do Samba - Sambódromo,R. Marquês de Sapucaí,,*,*,
,,Escola de Enfermagem Ana Neri,"R. Afonso Cavalcanti, 275",*,,,
,,Galpão,"R. Aníbal Benévolo, 315a",,*,*,
,,Antiga Fábrica de Gás,"Av. Pres. Vargas, 2.610",,*,,
,,Estação Ferroviária Leopoldina,"Av. Francisco Bicalho, s/nº",,*,,
,,Hospital São Francisco de Assis,"Av. Pres. Vargas, 2.863",*,,,
,,Conjunto Salvador de Sá,"Av. Salvador de Sá, 17 a 210",,,*,
IV  Botafogo,,275,,22,84,169,
,Flamengo,E.M. Alberto Barth,"Av. Osvaldo Cruz, 124",,,*,
,,Instituto dos Arquitetos do Brasil,"Beco do Pinheiro, 10",,*,*,
,,Imóvel,"R. 2 de Dezembro, 41",,,*,
,,Castelinho do Flamengo ,,,,,
,,(Centro Cultural Oduvaldo Vianna Filho),"Pr. do Flamengo, 158 ",,,*,
,,Palacete Seabra,"Pr. do Flamengo, 340",,,*,
,,Edifício Flamengo,"Pr. do Flamengo, 88",,,*,
,,Templo Metodista,"Praça José de Alencar, 4",,*, ,
,,Prédio de Apartamentos,"Av. Oswaldo Cruz, 4",,,*,
,,Parque do Flamengo (Pq. Brig. Eduardo Gomes),Do Aer. S. Dumont até a  Praia de Botafogo,*,,*,
,,Casa do Estudante Universitário ,"Av. Rui Barbosa, 762",,*,,
,,Capela Nossa Senhora da Piedade,"R. Marquês de Abrantes, 215",,*,,
,,Par de leões (Hotel Novo Mundo),"Pr. do Flamengo, 20 ",,,*,
,,Cinemateca do MAM - Museu de Arte Moderna,Parque do Flamengo,,,*,
,,Conjunto de Palmeiras Reais,Parque do Flamengo,,,*,
,,Edifício Biarritz,"Pr. do Flamengo, 268 ",,,*,
,,Edifício Tabor Loreto,"Pr. do Flamengo, 244",,,*,
,,Igreja da Santíssima Trindade,"R. Senador Vergueiro, 141 ",,,*,
,,Palacete,"R. Marquês de Abrantes, 99 ",,,*,
,,Prédio,"R. Senador Vergueiro, 11 e 15",,,*,
,,Reservatório Morro da Víuva (1878) ,Av. Rui Barbosa ,,*,,
,,"Sede de ""Manchete""","R. do Russel, 804",,,*,
,,,,,,,
,Glória,Antiga Sede do High Life Club,"R. Santo Amaro, 28",,,*,
,,Real Benem. Soc. Port. de Benef. do RJ,"R. Santo Amaro, 80/84",,,*,
,,Monumento ao Mal. Deodoro da Fonseca,"Pça. Mar. Deodoro, s/nº",,*,,
,,Igreja S. Coração de Jesus,"R. Benjamin Constant, 42",,,*,
,,Templo da Humanidade,"R. Benjamin Constant, 74",,*,,
,,Faculdade de Medicina Souza Marques ,,,,,
,,(antigo Asilo São Cornélio),"R. do Catete, 6",*,,,
,,Conjunto de amendoeiras e Jardins ,Praças Paris e Deodoro,,,*,
,,Chafariz da Glória,"R. da Glória, s/nº",*,,,
,,Relógio e Amurada da Glória ,"R. da Glória, s/nº",,*,,
,,Escola Municipal Deodoro,"R. da Glória, 64",,,*,
,,Casa,"Ladeira do Russel, 57",,,*,
,,Igreja N.S. da Glória do Outeiro,"Praça N. S.  da Glória, 135",*,,,
,,Hotel Glória (Conjunto  Arq. da Amurada),"R. do Russel, em frente ao nº 632",,,*,
,,Casa,"R. do Russel, 734",*,,,
,,Sede da SEAERJ ,,,,,
,,(Antiga Estação de Tratamaneto de Esgotos),"R. do Russel, 1 ",,*,*,
,,Imóvel,"R. Santo Amaro, 188",,,*,
,,Estátuas (2): Hipônemes e Atalanta; carrancas (2) ,,,,,
,,e estátuas (4) servindo de apoio para o corrimão; ,,,,,
,,estátuas (2) servindo de apoio para o corrimão,"R. do Catete, 6 ",,,*,
,,,,,,,
,Laranjeiras,Conjunto Residencial do Parque Guinle,"R. Gago Coutinho, 66  e",,,,
,,,"R. Paulo César Andrade, 70 a 106",*,,,
,,Instituto João Alves Afonso (edifício),"R. Ipiranga, 70",,*,,
,,Mercado Municipal São José,"R. das Laranjeiras, 90",,,*,
,,Conjunto Conhecido como Casas Casadas,"R. das Laranjeiras, 307 e 367",,*,*,
,,Casa,"R. das Laranjeiras, 490",,,*,
,,Casas,"R. das Laranjeiras, 541 e 543",,,*,
,,Palácio das Laranjeiras,"R. Paulo Cesar de Andrade, 407 (Pq. Guinle)",*,*,,
,,Conj. Arquitet. e Esportivo do Fluminense F. C.,"R. Alvaro Chaves, 41",,*,*,
,,Palácio Guanabara e sua capelinha,"R. Pinheiro Machado, s/nº",*,,*,
,,Sobrado e Alfaias,"R. Ribeiro de Almeida, 29",,,*,
,,Fundação Rio Arte (sede),"R. Rumânia, 20",,,*,
,,Chafariz: Mercúrio (Palácio das Laranjeiras),"R. Paulo Cézar de Andrade, 407 ",,,*,
,,Chafariz: Netuno (Palácio Guanabara),"R. Pinheiro Machado, s/nº ",,,*,
,,Academia ATP ,"R. Ipiranga, 119 ",,*,,
,,Açougue Ponto das Laranjeiras,"R. das Laranjeiras, 406",,*,,
,,Aléia de Palmeiras Imperiais,R. Paissandu ,,,*,
,,"Antiga sede do colégio Sacré Coer de Jésus, ",,,,,
,,inclu. o acervo e as áreas ajardinadas no lote ,"R. Pinheiro Machado, 22 ",,,*,
,,Antiquário,"R. Soares Cabral, 3",,*,,
,,Apartamentos,"R. Esteves Júnior, 12 e 14 ",,*,,
,,Apartamentos,"R. Ipiranga, 69 e 73",,*,,
,,Armazém Corcovado,"R. Soares Cabral, 1",,*,,
,,Athenas Cabeleireiro,"R. Paissandu, 274",,*,,
,,Bar e Petisqueira do Vouga,"R. Ipiranga, 88 ",,*,,
,,Bar,"R. Ipiranga, 117 ",,*,,
,,Birotê Cabeleireiros / Estofador,"R. das Laranjeiras, 265 ",,*,,
,,C.C.A.A. (antigo Instituto Pasteur),"R. das Laranjeiras, 308 ",,*,,
,,Cabeleireiros Ella,"R. Ipiranga, 78",,*,,
,,Café Laranjeiras / Bazar,"R. das Laranjeiras, 402 ",,*,*,
,,Calçamento em paralelepípedo,R. Ribeiro de Almeida,,,*,
,,Capela Coração de Jesus,"R. Pereira da Silva, 319 ",,,*,
,,Capela Nossa Senhora dos Prazeres,"R. Pereira da Silva, 135 ",,,*,
,,Centro Médico Laranjeiras,"R. Ipiranga, 115",,*,,
,,Chafariz,Praça São Salvador  ,,*,*,
,,Clínica Fimeso,"R. Ipiranga, 86",,*,,
,,Colchoaria e Mobiliária Laranjeiras,"R. das Laranjeiras, 396 ",,*,*,
,,Colégio Wakigawa,"R. Gago Coutinho, 25",,*,,
,,Conjunto arquitetônico,"R. Ribeiro de Almeida, 23, 25, 30, 32 e 50 ",,*,,
,,"Convento Nossa Senhora do Cenáculo, ",,,,,
,,capela Nossa Senhora do Cenáculo e ,,,,,
,,aléia de plameiras,"R. Pereira da Silva, 135 ",,,*,
,,Curso de Informática,"R. Ipiranga, 49",,*,,
,,Curso Wizard,"R. Paissandu, 272",,*,,
,,Depósito,"R. Ipiranga, 79",,*,,
,,Drogaria Max,"Praça São Salvador, 1 ",,*,,
,,Edifício,"R. das Laranjeiras, 22 ",,*,,
,,Eletricistas,"R. das Laranjeiras, 398 ",,*,*,
,,Escola Senador Correa,"R. Esteves Júnior, 42",,*,*,
,,Fachadas,"R. Gago Coutinho, 53 e 55 ",,,*,
,,Ferragens,"R. Ipiranga, 53",,*,,
,,Frigorífico,"R. Ipiranga, 94",,*,,
,,Hermes da Costa ferragens LTDA. ,,,,,
,,e Vigo doces e balas,"R. das Laranjeiras, 388 ",,*,*,
,,Hotel Dalma,"R. das Laranjeiras, 222 ",,*,,
,,Hotel Laranjeiras,"R. das Laranjeiras, 394 ",,*,*,
,,I.N.E.S. ,"R. das Laranjeiras, 232 ",,*,,
,,Igreja Batista,"R. Ipiranga, 59",,*,,
,,Imóveis ,"R. Esteves Júnior, 33 e 35 ",,*,,
,,Imóveis ,"R. Ipiranga, 15, 47, 80, 82, 84, 123, 136 e 138 ",,*,,
,,Imóveis ,"Praça São Salvador, 03, 05, 72 e 72-A ",,*,,
,,Imóveis ,"R. Senador Corrêa, 12 e 14 ",,*,,
,,Imóveis ,"R. Marquesa de Santos, 08,10,14, 28,30,34 e 36 ",,*,,
,,Imóveis ,"R. Pereira da Silva, 61 e 86 ",,,*,
,,Imóveis ,"R. Presidente Carlos de Campos, 13 a 35 e 14 ",,,*,
,,Imóvel da Escola Municipal Anne Frank ,"R. Pinheiro Machado, 190 ",,,*,
,,Imóvel onde residiu o jurista Sobral Pinto ,"R. Pereira da Silva, 740 ",,,*,
